type,subtype,ammunition,name,device,location,filepath
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"40 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_201A_S05.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_061B_S01.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_141B_S06.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_001B_S06.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"40 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_201A_S04.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121B_S01.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121B_S03.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_001B_S04.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"40 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_201A_S06.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_141B_S04.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_061B_S03.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_061B_S02.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_141B_S05.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_001B_S05.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121B_S02.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121B_S06.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_001B_S01.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"40 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_201A_S03.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_141B_S01.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_061B_S06.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"40 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_201A_S02.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121B_S05.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_001B_S02.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_141B_S02.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_061B_S05.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"130 Degrees, 20 Meters",\Forensics_Files\SpKing22_iPhone\IP_061B_S04.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_141B_S03.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"-30 Degrees, 40 Meters",\Forensics_Files\SpKing22_iPhone\IP_001B_S03.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"40 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_201A_S01.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"90 Degrees, 10 Meters",\Forensics_Files\SpKing22_iPhone\IP_121B_S04.wav
Handgun,Pistol,0.22 LR,High Standard Sport King,iPhone,"0 Degrees, 3 Meters",\Forensics_Files\SpKing22_iPhone\IP_181B_S04.wav
